Southampton,Yan Valery,2016/2017
Crystal Palace,Patrick van Aanholt,2021/2022
Crystal Palace,Patrick van Aanholt,2020/2021
Crystal Palace,Patrick van Aanholt,2019/2020
Crystal Palace,Patrick van Aanholt,2018/2019
Crystal Palace,Patrick van Aanholt,2017/2018
Crystal Palace,Patrick van Aanholt,2016/2017
Sunderland,Patrick van Aanholt,2016/2017
Sunderland,Patrick van Aanholt,2015/2016
Sunderland,Patrick van Aanholt,2014/2015
Chelsea,Patrick van Aanholt,2013/2014
Chelsea,Patrick van Aanholt,2012/2013
Wigan Athletic (Loan),Patrick van Aanholt,2011/2012
Chelsea,Patrick van Aanholt,2011/2012
Chelsea,Patrick van Aanholt,2010/2011
Chelsea,Patrick van Aanholt,2009/2010
Chelsea,Patrick van Aanholt,2008/2009
Chelsea,Patrick van Aanholt,2007/2008
Everton (Loan),Donny van de Beek,2021/2022
Manchester United,Donny van de Beek,2021/2022
Manchester United,Donny van de Beek,2020/2021
Liverpool,Virgil van Dijk,2021/2022
Liverpool,Virgil van Dijk,2020/2021
Liverpool,Virgil van Dijk,2019/2020
Liverpool,Virgil van Dijk,2018/2019
Liverpool,Virgil van Dijk,2017/2018
Southampton,Virgil van Dijk,2017/2018
Southampton,Virgil van Dijk,2016/2017
Southampton,Virgil van Dijk,2015/2016
Manchester City,Mikki van Sas,2021/2022
Manchester United,Raphaël Varane,2021/2022
Leicester City,Jamie Vardy,2021/2022
Leicester City,Jamie Vardy,2020/2021
Leicester City,Jamie Vardy,2019/2020
Leicester City,Jamie Vardy,2018/2019
Leicester City,Jamie Vardy,2017/2018
Leicester City,Jamie Vardy,2016/2017
Leicester City,Jamie Vardy,2015/2016
Leicester City,Jamie Vardy,2014/2015
Aston Villa,Indiana Vassilev,2021/2022
Aston Villa,Indiana Vassilev,2020/2021
Aston Villa,Indiana Vassilev,2019/2020
Brighton and Hove Albion,Joël Veltman,2021/2022
Brighton and Hove Albion,Joël Veltman,2020/2021
Leicester City,Jannik Vestergaard,2021/2022
Southampton,Jannik Vestergaard,2021/2022
Southampton,Jannik Vestergaard,2020/2021
Southampton,Jannik Vestergaard,2019/2020
Southampton,Jannik Vestergaard,2018/2019
Wolverhampton Wanderers (Loan),Vitinha,2021/2022
Wolverhampton Wanderers (Loan),Vitinha,2020/2021
West Ham United,Nikola Vlasic,2021/2022
Everton,Nikola Vlasic,2019/2020
Everton,Nikola Vlasic,2018/2019
Everton,Nikola Vlasic,2017/2018
Southampton,Jake Vokins,2021/2022
Southampton,Jake Vokins,2020/2021
Southampton U21,Jake Vokins,2019/2020
Norwich City,Mario Vrancic,2021/2022
Norwich City,Mario Vrancic,2019/2020
Burnley,Matej Vydra,2021/2022
Burnley,Matej Vydra,2020/2021
Burnley,Matej Vydra,2019/2020
Burnley,Matej Vydra,2018/2019
Watford,Matej Vydra,2016/2017
Watford,Matej Vydra,2015/2016
West Bromwich Albion (Loan),Matej Vydra,2013/2014
Southampton,Theo Walcott,2021/2022
Southampton (Loan),Theo Walcott,2021/2022
Everton,Theo Walcott,2021/2022
Southampton (Loan),Theo Walcott,2020/2021
Everton,Theo Walcott,2020/2021
Everton,Theo Walcott,2019/2020
Everton,Theo Walcott,2018/2019
Everton,Theo Walcott,2017/2018
Arsenal,Theo Walcott,2017/2018
Arsenal,Theo Walcott,2016/2017
Arsenal,Theo Walcott,2015/2016
Arsenal,Theo Walcott,2014/2015
Arsenal,Theo Walcott,2013/2014
Arsenal,Theo Walcott,2012/2013
Arsenal,Theo Walcott,2011/2012
Arsenal,Theo Walcott,2010/2011
Arsenal,Theo Walcott,2009/2010
Arsenal,Theo Walcott,2008/2009
Arsenal,Theo Walcott,2007/2008
Arsenal,Theo Walcott,2006/2007
Arsenal,Theo Walcott,2005/2006
Aston Villa,Jake Walker,2021/2022
Aston Villa,Jake Walker,2020/2021
Southampton,Kyle Walker-Peters,2021/2022
Southampton,Kyle Walker-Peters,2020/2021
Southampton (Loan),Kyle Walker-Peters,2020/2021
Southampton,Kyle Walker-Peters,2019/2020
Southampton (Loan),Kyle Walker-Peters,2019/2020
Tottenham Hotspur,Kyle Walker-Peters,2019/2020
Tottenham Hotspur,Kyle Walker-Peters,2018/2019
Tottenham Hotspur,Kyle Walker-Peters,2017/2018
Tottenham Hotspur,Kyle Walker-Peters,2016/2017
Tottenham Hotspur,Kyle Walker-Peters,2015/2016
Burnley,Sam Waller,2021/2022
Brighton and Hove Albion,Christian Walton,2021/2022
Brighton and Hove Albion,Christian Walton,2020/2021
Brighton and Hove Albion,Christian Walton,2019/2020
Brighton and Hove Albion,Christian Walton,2017/2018
Manchester United,Aaron Wan-Bissaka,2021/2022
Manchester United,Aaron Wan-Bissaka,2020/2021
Manchester United,Aaron Wan-Bissaka,2019/2020
Crystal Palace,Aaron Wan-Bissaka,2019/2020
Crystal Palace,Aaron Wan-Bissaka,2018/2019
Crystal Palace,Aaron Wan-Bissaka,2017/2018
Crystal Palace,Aaron Wan-Bissaka,2016/2017
Leicester City,Wanya Marçal-Madivadua,2021/2022
Crystal Palace,Joel Ward,2021/2022
Crystal Palace,Joel Ward,2020/2021
Crystal Palace,Joel Ward,2019/2020
Crystal Palace,Joel Ward,2018/2019
Crystal Palace,Joel Ward,2017/2018
Crystal Palace,Joel Ward,2016/2017
Crystal Palace,Joel Ward,2015/2016
Crystal Palace,Joel Ward,2014/2015
Crystal Palace,Joel Ward,2013/2014
Portsmouth,Joel Ward,2009/2010
Southampton,James Ward-Prowse,2021/2022
Southampton,James Ward-Prowse,2020/2021
Southampton,James Ward-Prowse,2019/2020
Southampton,James Ward-Prowse,2018/2019
Southampton,James Ward-Prowse,2017/2018
Southampton,James Ward-Prowse,2016/2017
Southampton,James Ward-Prowse,2015/2016
Southampton,James Ward-Prowse,2014/2015
Southampton,James Ward-Prowse,2013/2014
Southampton,James Ward-Prowse,2012/2013
Aston Villa,Ollie Watkins,2021/2022
Aston Villa,Ollie Watkins,2020/2021
Southampton U21,Caleb Watts,2021/2022
Southampton U21,Caleb Watts,2020/2021
Southampton,Caleb Watts,2019/2020
Brighton and Hove Albion,Adam Webster,2021/2022
Brighton and Hove Albion,Adam Webster,2020/2021
Brighton and Hove Albion,Adam Webster,2019/2020
Burnley,Wout Weghorst,2021/2022
Brighton and Hove Albion,Jensen Weir,2021/2022
Brighton and Hove Albion,Jensen Weir,2020/2021
Brighton and Hove Albion,Danny Welbeck,2021/2022
Brighton and Hove Albion,Danny Welbeck,2020/2021
Watford,Danny Welbeck,2019/2020
Arsenal,Danny Welbeck,2019/2020
Arsenal,Danny Welbeck,2018/2019
Arsenal,Danny Welbeck,2017/2018
Arsenal,Danny Welbeck,2016/2017
Arsenal,Danny Welbeck,2015/2016
Arsenal,Danny Welbeck,2014/2015
Manchester United,Danny Welbeck,2014/2015
Manchester United,Danny Welbeck,2013/2014
Manchester United,Danny Welbeck,2012/2013
Manchester United,Danny Welbeck,2011/2012
Sunderland (Loan),Danny Welbeck,2010/2011
Manchester United,Danny Welbeck,2010/2011
Manchester United,Danny Welbeck,2009/2010
Manchester United,Danny Welbeck,2008/2009
Manchester United,Danny Welbeck,2007/2008
Everton,Reece Welch,2021/2022
Everton,Reece Welch,2020/2021
Crystal Palace,Jack Wells-Morrison,2021/2022
Chelsea,Timo Werner,2021/2022
Chelsea,Timo Werner,2020/2021
Aston Villa,Wesley Moraes,2021/2022
Aston Villa,Wesley Moraes,2020/2021
Aston Villa,Wesley Moraes,2019/2020
Burnley,Ashley Westwood,2021/2022
Burnley,Ashley Westwood,2020/2021
Burnley,Ashley Westwood,2019/2020
Burnley,Ashley Westwood,2018/2019
Burnley,Ashley Westwood,2017/2018
Burnley,Ashley Westwood,2016/2017
Aston Villa,Ashley Westwood,2015/2016
Aston Villa,Ashley Westwood,2014/2015
Aston Villa,Ashley Westwood,2013/2014
Aston Villa,Ashley Westwood,2012/2013
Everton,Charlie Whitaker,2021/2022
Arsenal,Benjamin White,2021/2022
Brighton and Hove Albion,Benjamin White,2021/2022
Leeds United (Loan),Benjamin White,2020/2021
Brighton and Hove Albion,Benjamin White,2020/2021
Brighton and Hove Albion,Benjamin White,2019/2020
Brighton and Hove Albion,Benjamin White,2018/2019
Brighton and Hove Albion,Benjamin White,2017/2018
Tottenham Hotspur,Alfie Whiteman,2021/2022
Tottenham Hotspur,Alfie Whiteman,2020/2021
Tottenham Hotspur,Alfie Whiteman,2019/2020
Tottenham Hotspur,Alfie Whiteman,2018/2019
Tottenham Hotspur,Alfie Whiteman,2017/2018
Tottenham Hotspur,Alfie Whiteman,2016/2017
Crystal Palace,Connor Wickham,2021/2022
Crystal Palace,Connor Wickham,2020/2021
Crystal Palace,Connor Wickham,2019/2020
Crystal Palace,Connor Wickham,2018/2019
Crystal Palace,Connor Wickham,2017/2018
Crystal Palace,Connor Wickham,2016/2017
Crystal Palace,Connor Wickham,2015/2016
Sunderland,Connor Wickham,2014/2015
Sunderland,Connor Wickham,2013/2014
Sunderland,Connor Wickham,2012/2013
Sunderland,Connor Wickham,2011/2012
Liverpool,Georginio Wijnaldum,2021/2022
Liverpool,Georginio Wijnaldum,2020/2021
Liverpool,Georginio Wijnaldum,2019/2020
Liverpool,Georginio Wijnaldum,2018/2019
Liverpool,Georginio Wijnaldum,2017/2018
Liverpool,Georginio Wijnaldum,2016/2017
Newcastle United,Georginio Wijnaldum,2015/2016
Chelsea,Dylan Williams,2021/2022
Arsenal,Willian,2021/2022
Arsenal,Willian,2020/2021
Chelsea,Willian,2020/2021
Chelsea,Willian,2019/2020
Chelsea,Willian,2018/2019
Chelsea,Willian,2017/2018
Chelsea,Willian,2016/2017
Chelsea,Willian,2015/2016
Chelsea,Willian,2014/2015
Chelsea,Willian,2013/2014
Wolverhampton Wanderers (Loan),Willian José,2021/2022
Wolverhampton Wanderers (Loan),Willian José,2020/2021
Newcastle United,Joseph Willock,2021/2022
Arsenal,Joseph Willock,2021/2022
Newcastle United (Loan),Joseph Willock,2020/2021
Arsenal,Joseph Willock,2020/2021
Arsenal,Joseph Willock,2019/2020
Arsenal,Joseph Willock,2018/2019
Arsenal,Joseph Willock,2017/2018
Watford,Ben Wilmot,2021/2022
Watford,Ben Wilmot,2019/2020
Watford,Ben Wilmot,2018/2019
Liverpool,Harry Wilson,2021/2022
Liverpool,Harry Wilson,2020/2021
AFC Bournemouth (Loan),Harry Wilson,2019/2020
Liverpool,Harry Wilson,2019/2020
Liverpool,Harry Wilson,2018/2019
Liverpool,Harry Wilson,2017/2018
Liverpool,Harry Wilson,2016/2017
Liverpool,Harry Wilson,2015/2016
Fulham,Tosin Adarabioyo,2020/2021
Manchester City,Tosin Adarabioyo,2019/2020
Manchester City,Tosin Adarabioyo,2018/2019
Manchester City,Tosin Adarabioyo,2017/2018
Manchester City,Tosin Adarabioyo,2016/2017
Manchester City,Tosin Adarabioyo,2015/2016
Fulham,Dennis Adeniran,2020/2021
Fulham,Dennis Adeniran,2019/2020
Leicester City,Adrien Silva,2020/2021
Leicester City,Adrien Silva,2019/2020
Leicester City,Adrien Silva,2018/2019
Leicester City,Adrien Silva,2017/2018
West Ham United U21,Oladapo Afolayan,2020/2021
West Bromwich Albion,Ahmed Hegazi,2020/2021
West Bromwich Albion,Ahmed Hegazi,2017/2018
West Bromwich Albion (Loan),Ahmed Hegazi,2017/2018
Fulham (Loan),Ola Aina,2020/2021
Chelsea,Ola Aina,2019/2020
Chelsea,Ola Aina,2018/2019
Chelsea,Ola Aina,2017/2018
Chelsea,Ola Aina,2016/2017
Chelsea,Ola Aina,2015/2016
Chelsea,Ola Aina,2014/2015
West Bromwich Albion,Semi Ajayi,2020/2021
Arsenal,Semi Ajayi,2014/2015
West Ham United,Albian Ajeti,2020/2021
West Ham United,Albian Ajeti,2019/2020
Fulham,Aleksandar Mitrovic,2020/2021
Fulham,Aleksandar Mitrovic,2018/2019
Fulham (Loan),Aleksandar Mitrovic,2018/2019
Newcastle United,Aleksandar Mitrovic,2017/2018
Newcastle United,Aleksandar Mitrovic,2015/2016
Burnley,Ali Koiki,2020/2021
Burnley,Ali Koiki,2019/2020
Burnley,Ali Koiki,2018/2019
West Ham United,Frederik Alves,2021/2022
West Ham United,Frederik Alves,2020/2021
West Ham United U21,Joseph Anang,2020/2021
West Ham United U21,Joseph Anang,2019/2020
Newcastle United,Elliot Anderson,2021/2022
Newcastle United,Elliot Anderson,2020/2021
Fulham,Antonee Robinson,2020/2021
Everton,Antonee Robinson,2015/2016
Fulham (Loan),Harry Arter,2020/2021
AFC Bournemouth,Harry Arter,2019/2020
Cardiff City (Loan),Harry Arter,2018/2019
AFC Bournemouth,Harry Arter,2018/2019
AFC Bournemouth,Harry Arter,2017/2018
AFC Bournemouth,Harry Arter,2016/2017
AFC Bournemouth,Harry Arter,2015/2016
West Bromwich Albion,Finn Azaz,2020/2021
Everton,Leighton Baines,2020/2021
Everton,Leighton Baines,2019/2020
Everton,Leighton Baines,2018/2019
Everton,Leighton Baines,2017/2018
Everton,Leighton Baines,2016/2017
Everton,Leighton Baines,2015/2016
Everton,Leighton Baines,2014/2015
Everton,Leighton Baines,2013/2014
Everton,Leighton Baines,2012/2013
Everton,Leighton Baines,2011/2012
Everton,Leighton Baines,2010/2011
Everton,Leighton Baines,2009/2010
Everton,Leighton Baines,2008/2009
Everton,Leighton Baines,2007/2008
Wigan Athletic,Leighton Baines,2006/2007
Wigan Athletic,Leighton Baines,2005/2006
Sheffield United,George Baldock,2020/2021
Sheffield United,George Baldock,2019/2020
Arsenal U21,Danny Ballard,2020/2021
West Ham United,Jamal Baptiste,2021/2022
West Ham United,Jamal Baptiste,2020/2021
Newcastle United,Daniel Barlaser,2020/2021
Newcastle United,Daniel Barlaser,2019/2020
Newcastle United,Daniel Barlaser,2018/2019
Newcastle United,Daniel Barlaser,2017/2018
Newcastle United,Daniel Barlaser,2015/2016
West Bromwich Albion,Kyle Bartley,2020/2021
Swansea City,Kyle Bartley,2017/2018
Swansea City,Kyle Bartley,2016/2017
Swansea City,Kyle Bartley,2015/2016
Swansea City,Kyle Bartley,2014/2015
Swansea City,Kyle Bartley,2013/2014
Swansea City,Kyle Bartley,2012/2013
Arsenal,Kyle Bartley,2011/2012
Arsenal,Kyle Bartley,2010/2011
Arsenal,Kyle Bartley,2009/2010
Arsenal,Kyle Bartley,2008/2009
Arsenal,Kyle Bartley,2007/2008
Sheffield United,Chris Basham,2020/2021
Sheffield United,Chris Basham,2019/2020
Blackpool,Chris Basham,2010/2011
Bolton Wanderers,Chris Basham,2009/2010
Bolton Wanderers,Chris Basham,2008/2009
Liverpool,Jack Bearne,2020/2021
Liverpool,Jack Bearne,2019/2020
Leicester City (Loan),Ryan Bennett,2020/2021
Leicester City (Loan),Ryan Bennett,2019/2020
Wolverhampton Wanderers,Ryan Bennett,2019/2020
Wolverhampton Wanderers,Ryan Bennett,2018/2019
Norwich City,Ryan Bennett,2015/2016
Norwich City,Ryan Bennett,2013/2014
Norwich City,Ryan Bennett,2012/2013
Norwich City,Ryan Bennett,2011/2012
Newcastle United (Loan),Nabil Bentaleb,2020/2021
Newcastle United (Loan),Nabil Bentaleb,2019/2020
Tottenham Hotspur,Nabil Bentaleb,2016/2017
Tottenham Hotspur,Nabil Bentaleb,2015/2016
Tottenham Hotspur,Nabil Bentaleb,2014/2015
Tottenham Hotspur,Nabil Bentaleb,2013/2014
Sheffield United,Sander Berge,2020/2021
Sheffield United,Sander Berge,2019/2020
West Ham United,Bernardo Rosa,2020/2021
West Ham United,Bernardo Rosa,2019/2020
Sheffield United,Jayden Bogle,2020/2021
Arsenal U21,Tolaji Bola,2020/2021
Arsenal U21,Tolaji Bola,2019/2020
Everton,Yannick Bolasie,2020/2021
Everton,Yannick Bolasie,2019/2020
Everton,Yannick Bolasie,2018/2019
Everton,Yannick Bolasie,2017/2018
Everton,Yannick Bolasie,2016/2017
Crystal Palace,Yannick Bolasie,2016/2017
Crystal Palace,Yannick Bolasie,2015/2016
Crystal Palace,Yannick Bolasie,2014/2015
Crystal Palace,Yannick Bolasie,2013/2014
West Bromwich Albion,Jonathan Bond,2020/2021
Southampton,Sofiane Boufal,2020/2021
Southampton,Sofiane Boufal,2019/2020
Southampton,Sofiane Boufal,2018/2019
Southampton,Sofiane Boufal,2017/2018
Southampton,Sofiane Boufal,2016/2017
Liverpool,Morgan Boyes,2020/2021
Liverpool,Morgan Boyes,2019/2020
Manchester City,Claudio Bravo,2020/2021
Manchester City,Claudio Bravo,2019/2020
Manchester City,Claudio Bravo,2018/2019
Manchester City,Claudio Bravo,2017/2018
Manchester City,Claudio Bravo,2016/2017
Sheffield United,Rhian Brewster,2020/2021
Liverpool,Rhian Brewster,2020/2021
Liverpool,Rhian Brewster,2019/2020
Liverpool,Rhian Brewster,2018/2019
Liverpool,Rhian Brewster,2017/2018
Liverpool,Rhian Brewster,2016/2017
Sheffield United,George Broadbent,2020/2021
Sheffield United,Zak Brunt,2020/2021
Fulham,Joe Bryan,2020/2021
Fulham,Joe Bryan,2018/2019
Wolverhampton Wanderers,Hugo Bueno,2020/2021
Sheffield United,Oliver Burke,2020/2021
West Bromwich Albion,Oliver Burke,2020/2021
West Bromwich Albion,Oliver Burke,2017/2018
Arsenal,Robbie Burton,2020/2021
Arsenal,Robbie Burton,2019/2020
West Bromwich Albion,David Button,2020/2021
Brighton and Hove Albion,David Button,2020/2021
Brighton and Hove Albion,David Button,2019/2020
Brighton and Hove Albion,David Button,2018/2019
Fulham,David Button,2018/2019
Tottenham Hotspur,David Button,2012/2013
Tottenham Hotspur,David Button,2011/2012
Tottenham Hotspur,David Button,2010/2011
Tottenham Hotspur,David Button,2009/2010
Tottenham Hotspur,David Button,2008/2009
Tottenham Hotspur,David Button,2007/2008
Wolverhampton Wanderers U21,Oskar Buur,2020/2021
Wolverhampton Wanderers U21,Oskar Buur,2019/2020
Wolverhampton Wanderers U21,Oskar Buur,2018/2019
Fulham,Tom Cairney,2020/2021
Fulham,Tom Cairney,2018/2019
Hull City,Tom Cairney,2013/2014
Hull City,Tom Cairney,2009/2010
Southampton,Guido Carrillo,2020/2021
Southampton,Guido Carrillo,2019/2020
Southampton,Guido Carrillo,2018/2019
Southampton,Guido Carrillo,2017/2018
Fulham U21,Fabio Carvalho,2020/2021
Newcastle United,Lewis Cass,2020/2021
Newcastle United,Lewis Cass,2019/2020
Newcastle United,Lewis Cass,2018/2019
Manchester United U21,Tahith Chong,2020/2021
Manchester United,Tahith Chong,2019/2020
Manchester United,Tahith Chong,2018/2019
Fulham,Cyrus Christie,2020/2021
Fulham,Cyrus Christie,2018/2019
Sheffield United,Leon Clarke,2020/2021
Sheffield United,Leon Clarke,2019/2020
Queens Park Rangers,Leon Clarke,2011/2012
Wolverhampton Wanderers,Leon Clarke,2003/2004
Liverpool,Thomas Clayton,2020/2021
Liverpool,Thomas Clayton,2019/2020
Sheffield United,Ismaila Coulibaly,2020/2021
West Ham United,Josh Cullen,2020/2021
West Ham United,Josh Cullen,2019/2020
West Ham United,Josh Cullen,2018/2019
West Ham United,Josh Cullen,2017/2018
West Ham United,Josh Cullen,2016/2017
West Ham United,Josh Cullen,2015/2016
West Ham United,Josh Cullen,2014/2015
Southampton (Loan),Kevin Danso,2020/2021
Southampton (Loan),Kevin Danso,2019/2020
Fulham,Bobby De Cordova-Reid,2020/2021
Cardiff City,Bobby De Cordova-Reid,2018/2019
Fulham U21,Luca de la Torre,2020/2021
Fulham,Luca de la Torre,2018/2019
Leicester City,Fousseni Diabaté,2020/2021
Leicester City,Fousseni Diabaté,2019/2020
Leicester City,Fousseni Diabaté,2018/2019
Leicester City,Fousseni Diabaté,2017/2018
West Bromwich Albion,Cheikh Diaby,2020/2021
West Bromwich Albion (Loan),Mbaye Diagne,2020/2021
Aston Villa U21,Mamadou Dialla Sylla,2020/2021
West Bromwich Albion,Grady Diangana,2020/2021
West Bromwich Albion (Loan),Grady Diangana,2020/2021
West Ham United,Grady Diangana,2019/2020
West Ham United,Grady Diangana,2018/2019
West Ham United,Grady Diangana,2017/2018
West Ham United,Grady Diangana,2016/2017
Manchester City,Alpha Richard Dionkou,2020/2021
Manchester City U21,Alpha Richard Dionkou,2019/2020
Manchester City,Mikkel Diskerud,2020/2021
Manchester City,Mikkel Diskerud,2019/2020
Leeds United,Barry Douglas,2020/2021
Wolverhampton Wanderers,Barry Douglas,2018/2019
Sheffield United,Jake Eastwood,2020/2021
Sheffield United,Jake Eastwood,2019/2020
Leeds United,Ryan Edmondson,2020/2021
West Bromwich Albion,Kyle Edwards,2020/2021
West Bromwich Albion,Kyle Edwards,2016/2017
West Bromwich Albion,Kyle Edwards,2015/2016
Sheffield United,John Egan,2020/2021
Sheffield United,John Egan,2019/2020
Sunderland,John Egan,2012/2013
Sunderland,John Egan,2011/2012
Newcastle United,Elias Sorensen,2020/2021
Newcastle United,Elias Sorensen,2019/2020
Brighton and Hove Albion,Ulrick Eneme-Ella,2020/2021
Fulham,Fabri,2020/2021
Fulham,Fabri,2018/2019
Leicester City,Josh Felix-Eppiah,2020/2021
Crystal Palace,Nathan Ferguson,2021/2022
Crystal Palace,Nathan Ferguson,2020/2021
West Bromwich Albion,Nathan Ferguson,2020/2021
West Bromwich Albion,Nathan Ferguson,2017/2018
Newcastle United,Federico Fernández,2021/2022
Newcastle United,Federico Fernández,2020/2021
Newcastle United,Federico Fernández,2019/2020
Newcastle United,Federico Fernández,2018/2019
Swansea City,Federico Fernández,2017/2018
Swansea City,Federico Fernández,2016/2017
Swansea City,Federico Fernández,2015/2016
Swansea City,Federico Fernández,2014/2015
West Bromwich Albion,Sam Field,2020/2021
West Bromwich Albion,Sam Field,2017/2018
West Bromwich Albion,Sam Field,2016/2017
West Bromwich Albion,Sam Field,2015/2016
Sheffield United,John Fleck,2020/2021
Sheffield United,John Fleck,2019/2020
Sheffield United,Wes Foderingham,2020/2021
Fulham,Wes Foderingham,2010/2011
Fulham,Wes Foderingham,2009/2010
Manchester United,Timothy Fosu-Mensah,2020/2021
Manchester United,Timothy Fosu-Mensah,2019/2020
Fulham (Loan),Timothy Fosu-Mensah,2018/2019
Manchester United,Timothy Fosu-Mensah,2018/2019
Crystal Palace (Loan),Timothy Fosu-Mensah,2017/2018
Manchester United,Timothy Fosu-Mensah,2016/2017
Manchester United,Timothy Fosu-Mensah,2015/2016
Tottenham Hotspur,Juan Foyth,2020/2021
Tottenham Hotspur,Juan Foyth,2019/2020
Tottenham Hotspur,Juan Foyth,2018/2019
Tottenham Hotspur,Juan Foyth,2017/2018
Fulham,Tyrese Francois,2020/2021
Fulham U21,Tyrese Francois,2018/2019
Sheffield United,Luke Freeman,2020/2021
Sheffield United,Luke Freeman,2019/2020
Arsenal,Luke Freeman,2011/2012
Arsenal,Luke Freeman,2010/2011
Arsenal,Luke Freeman,2009/2010
Arsenal,Luke Freeman,2008/2009
Arsenal,Luke Freeman,2007/2008
West Bromwich Albion,Darnell Furlong,2020/2021
Queens Park Rangers,Darnell Furlong,2014/2015
Liverpool,Tony Gallacher,2020/2021
Liverpool,Tony Gallacher,2019/2020
West Bromwich Albion,Taylor Gardner-Hickman,2020/2021
Tottenham Hotspur,Paulo Gazzaniga,2020/2021
Tottenham Hotspur,Paulo Gazzaniga,2019/2020
Tottenham Hotspur,Paulo Gazzaniga,2018/2019
Tottenham Hotspur,Paulo Gazzaniga,2017/2018
Southampton,Paulo Gazzaniga,2017/2018
Southampton,Paulo Gazzaniga,2016/2017
Southampton,Paulo Gazzaniga,2015/2016
Southampton,Paulo Gazzaniga,2014/2015
Southampton,Paulo Gazzaniga,2013/2014
Southampton,Paulo Gazzaniga,2012/2013
Tottenham Hotspur (Loan),Gedson Fernandes,2020/2021
Tottenham Hotspur (Loan),Gedson Fernandes,2019/2020
West Bromwich Albion,Kieran Gibbs,2020/2021
West Bromwich Albion,Kieran Gibbs,2017/2018
Arsenal,Kieran Gibbs,2017/2018
Arsenal,Kieran Gibbs,2016/2017
Arsenal,Kieran Gibbs,2015/2016
Arsenal,Kieran Gibbs,2014/2015
Arsenal,Kieran Gibbs,2013/2014
Arsenal,Kieran Gibbs,2012/2013
Arsenal,Kieran Gibbs,2011/2012
Arsenal,Kieran Gibbs,2010/2011
Arsenal,Kieran Gibbs,2009/2010
Arsenal,Kieran Gibbs,2008/2009
Arsenal,Kieran Gibbs,2007/2008
Arsenal,Kieran Gibbs,2006/2007
West Ham United,Gonçalo Cardoso,2020/2021
West Ham United,Gonçalo Cardoso,2019/2020
Burnley,Mace Goodridge,2020/2021
Burnley,Mace Goodridge,2019/2020
Crystal Palace,John-Kymani Gordon,2020/2021
Crystal Palace,John-Kymani Gordon,2019/2020
Leeds United,Robbie Gotts,2020/2021
Sheffield United,Sam Graham,2020/2021
West Bromwich Albion,Kamil Grosicki,2020/2021
Hull City,Kamil Grosicki,2016/2017
Leeds United,Jay-Roy Grot,2020/2021
Sheffield United,Antwoine Hackford,2020/2021
West Ham United,Sébastien Haller,2020/2021
West Ham United,Sébastien Haller,2019/2020
Liverpool,Joseph Hardy,2020/2021
Liverpool,Joseph Hardy,2019/2020
West Bromwich Albion,George Harmon,2020/2021
West Bromwich Albion,Rekeem Harper,2020/2021
West Bromwich Albion,Rekeem Harper,2017/2018
West Bromwich Albion,Rekeem Harper,2016/2017
Fulham,Jayden Harris,2020/2021
Aston Villa,Kaine Hayden,2019/2020
Fulham,Michael Hector,2020/2021
Chelsea,Michael Hector,2019/2020
Chelsea,Michael Hector,2018/2019
Chelsea,Michael Hector,2016/2017
Chelsea,Michael Hector,2015/2016
Reading,Michael Hector,2012/2013
Liverpool,Thomas Hill,2020/2021
Liverpool,Thomas Hill,2019/2020
Leicester City,George Hirst,2020/2021
Leicester City,George Hirst,2019/2020
Leeds United,Bryce Hosannah,2020/2021
Liverpool,Liam Hughes,2021/2022
Liverpool,Liam Hughes,2020/2021
Manchester United (Loan),Odion Ighalo,2020/2021
Manchester United (Loan),Odion Ighalo,2019/2020
Watford,Odion Ighalo,2016/2017
Watford,Odion Ighalo,2015/2016
Crystal Palace,Ryan Inniss,2020/2021
Crystal Palace,Ryan Inniss,2019/2020
Crystal Palace,Ryan Inniss,2018/2019
Crystal Palace,Ryan Inniss,2017/2018
Crystal Palace,Ryan Inniss,2016/2017
Crystal Palace,Ryan Inniss,2014/2015
Crystal Palace,Ryan Inniss,2013/2014
Fulham,Ivan Cavaleiro,2020/2021
Wolverhampton Wanderers,Ivan Cavaleiro,2019/2020
Wolverhampton Wanderers,Ivan Cavaleiro,2018/2019
West Bromwich Albion,Branislav Ivanovic,2020/2021
Chelsea,Branislav Ivanovic,2016/2017
Chelsea,Branislav Ivanovic,2015/2016
Chelsea,Branislav Ivanovic,2014/2015
Chelsea,Branislav Ivanovic,2013/2014
Chelsea,Branislav Ivanovic,2012/2013
Chelsea,Branislav Ivanovic,2011/2012
Chelsea,Branislav Ivanovic,2010/2011
Chelsea,Branislav Ivanovic,2009/2010
Chelsea,Branislav Ivanovic,2008/2009
Chelsea,Branislav Ivanovic,2007/2008
Sheffield United,Phil Jagielka,2020/2021
Sheffield United,Phil Jagielka,2019/2020
Everton,Phil Jagielka,2019/2020
Everton,Phil Jagielka,2018/2019
Everton,Phil Jagielka,2017/2018
Everton,Phil Jagielka,2016/2017
Everton,Phil Jagielka,2015/2016
Everton,Phil Jagielka,2014/2015
Everton,Phil Jagielka,2013/2014
Everton,Phil Jagielka,2012/2013
Everton,Phil Jagielka,2011/2012
Everton,Phil Jagielka,2010/2011
Everton,Phil Jagielka,2009/2010
Everton,Phil Jagielka,2008/2009
Everton,Phil Jagielka,2007/2008
Sheffield United,Phil Jagielka,2006/2007
Fulham U21,Sylvester Jasper,2020/2021
Fulham,Sylvester Jasper,2020/2021
